author_average_rating,author_gender,author_genres,author_id,author_name,author_page_url,author_rating_count,author_review_count,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
4.01,female,"historical-fiction,",74489,Victoria Thompson ,/author/show/74489.Victoria_Thompson,74399,6268,USA and Canada,4.02,https://www.goodreads.com/book/show/686717.Murder_on_St_Mark_s_Place,686717,       Murder on St. Mark's Place ,Mystery,Historical,5260,375,277,2000,3230
4.0,female,"romance,",5618190,Mimi Jean Pamfiloff ,/author/show/5618190.Mimi_Jean_Pamfiloff,76496,7975,USA and Canada,3.99,https://www.goodreads.com/book/show/27833684-tailored-for-trouble,27833684,       Tailored for Trouble ,Romance,Contemporary,2151,391,354,2016,4585
4.1,female,"young-adult,fantasy,",36122,Patricia C. Wrede ,/author/show/36122.Patricia_C_Wrede,291013,13453,USA and Canada,4.01,https://www.goodreads.com/book/show/64207.Sorcery_Cecelia,64207,       Sorcery & Cecelia: or The Enchanted Chocolate Pot ,Fantasy,Young Adult,17051,1890,326,April 15th 1988,2105
4.16,female,"romance,",4833990,Jillian Dodd ,/author/show/4833990.Jillian_Dodd,110522,9451,Unknown,3.95,https://www.goodreads.com/book/show/34804503-stalk-me,34804503,       Stalk Me ,Young Adult,Romance,11684,1107,327,August 20th 2012,2396
3.94,female,"nonfiction,",7956,Mary Roach ,/author/show/7956.Mary_Roach,321197,29747,USA and Canada,3.84,https://www.goodreads.com/book/show/5981308-bonk,5981308,       Bonk: The Curious Coupling of Science and Sex ,Nonfiction,Science,45963,4268,319,2008,2054
3.78,female,"fantasy,",155651,Nancy Baker ,/author/show/155651.Nancy_Baker,1019,104,USA and Canada,3.77,https://www.goodreads.com/book/show/266600.Kiss_of_the_Vampire,266600,       Kiss of the Vampire ,Paranormal,Horror,594,42,278,January 1st 1993,1311
4.08,female,"young-adult,",274533,Simone Elkeles ,/author/show/274533.Simone_Elkeles,481114,25166,USA and Canada,4.01,https://www.goodreads.com/book/show/544424.Leaving_Paradise,544424,       Leaving Paradise ,Young Adult,Romance,40093,2375,303,April 1st 2007,1994
4.03,female,"romance,literature-fiction,",27847,Lisa Kleypas ,/author/show/27847.Lisa_Kleypas,800760,50323,USA and Canada,4.25,https://www.goodreads.com/book/show/114166.Devil_in_Winter,114166,       Devil in Winter ,Romance,Romance,48639,3046,368,2006,7874
4.26,female,"fiction,science-fiction-fantasy,",153394,Suzanne Collins ,/author/show/153394.Suzanne_Collins,10212155,370569,USA and Canada,4.03,https://www.goodreads.com/book/show/7260188-mockingjay,7260188,       Mockingjay ,Young Adult,Science Fiction,2034222,98584,392,2010,12662
4.1,female,"gay-and-lesbian,",7851984,Zarah Detand ,/author/show/7851984.Zarah_Detand,1926,264,Unknown,4.22,https://www.goodreads.com/book/show/20816370-pull-me-under,20816370,       Pull Me Under ,Romance,Sports and Games,1279,175,359,2014,2373
