author_id,author_name,author_page_url,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,pages,year_publication,fiction_nonfiction,genre_number
7956,Mary Roach ,/author/show/7956.Mary_Roach,USA and Canada,3.84,https://www.goodreads.com/book/show/5981308-bonk,5981308,       Bonk: The Curious Coupling of Science and Sex ,Science,Science,319,2008,Nonfiction,7
925098,Jennifer Storm ,/author/show/925098.Jennifer_Storm,Unknown,3.72,https://www.goodreads.com/book/show/2034321.Blackout_Girl,2034321,       Blackout Girl: Growing Up and Drying Out in America ,Biography & Autobiography,Nonfiction,280,2008,Nonfiction,2
3275,Jeannette Walls ,/author/show/3275.Jeannette_Walls,USA and Canada,4.26,https://www.goodreads.com/book/show/7445.The_Glass_Castle,7445,       The Glass Castle ,Biography & Autobiography,Autobiography,288,2005,Nonfiction,2
11679,Elizabeth Gilbert ,/author/show/11679.Elizabeth_Gilbert,USA and Canada,3.53,https://www.goodreads.com/book/show/19501.Eat_Pray_Love,19501,"       Eat, Pray, Love ",Biography & Autobiography,Autobiography,334,2006,Nonfiction,2
3720,Anne Frank ,/author/show/3720.Anne_Frank,Europe,4.12,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,48855,       The Diary of a Young Girl ,Biography & Autobiography,Classics,304,1947,Nonfiction,2
58918,Helene Hanff ,/author/show/58918.Helene_Hanff,USA and Canada,4.19,https://www.goodreads.com/book/show/368916.84_Charing_Cross_Road,368916,"       84, Charing Cross Road ",Writing,Writing,97,1970,Nonfiction,10
8644,Sylvia Nasar ,/author/show/8644.Sylvia_Nasar,Europe,4.12,https://www.goodreads.com/book/show/13912.A_Beautiful_Mind,13912,       A Beautiful Mind ,Biography & Autobiography,Nonfiction,461,1998,Nonfiction,2
102203,Corrie ten Boom ,/author/show/102203.Corrie_ten_Boom,Europe,4.41,https://www.goodreads.com/book/show/561909.The_Hiding_Place,561909,       The Hiding Place: The Triumphant True Story of Corrie Ten Boom ,Biography & Autobiography,Biography,242,1971,Nonfiction,2
30913,Laura Hillenbrand ,/author/show/30913.Laura_Hillenbrand,USA and Canada,4.38,https://www.goodreads.com/book/show/8664353-unbroken,8664353,"       Unbroken: A World War II Story of Survival, Resilience and Redemption ",History,History,473,2010,Nonfiction,5
179790,Gwen Cooper ,/author/show/179790.Gwen_Cooper,USA and Canada,4.19,https://www.goodreads.com/book/show/6261477-homer-s-odyssey,6261477,       Homer's Odyssey ,Animals,Animals,287,2009,Nonfiction,1
1258608,Eva Saulitis ,/author/show/1258608.Eva_Saulitis,Unknown,4.21,https://www.goodreads.com/book/show/13642241-into-great-silence,13642241,       Into Great Silence: A Memoir of Discovery and Loss among Vanishing Orcas ,Biography & Autobiography,Autobiography,272,2013,Nonfiction,2
132350,Joy Adamson ,/author/show/132350.Joy_Adamson,Europe,4.17,https://www.goodreads.com/book/show/758153.Born_Free,758153,       Born Free: A Lioness of Two Worlds ,Animals,Animals,224,1960,Nonfiction,1
238,Joan Didion ,/author/show/238.Joan_Didion,USA and Canada,3.88,https://www.goodreads.com/book/show/7815.The_Year_of_Magical_Thinking,7815,       The Year of Magical Thinking ,Biography & Autobiography,Autobiography,227,2005,Nonfiction,2
5571,Lynne Truss ,/author/show/5571.Lynne_Truss,Europe,3.87,https://www.goodreads.com/book/show/8600.Eats_Shoots_Leaves,8600,"       Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation ",Writing,Language,209,2003,Nonfiction,10
29655,Rhonda Byrne ,/author/show/29655.Rhonda_Byrne,Oceania,3.65,https://www.goodreads.com/book/show/52529.The_Secret,52529,       The Secret ,Self Help,Nonfiction,199,2006,Nonfiction,8
4370,Elizabeth Wurtzel ,/author/show/4370.Elizabeth_Wurtzel,USA and Canada,3.59,https://www.goodreads.com/book/show/227603.Prozac_Nation,227603,       Prozac Nation ,Biography & Autobiography,Autobiography,368,1994,Nonfiction,2
8546,Julie Powell ,/author/show/8546.Julie_Powell,USA and Canada,3.7,https://www.goodreads.com/book/show/13747.Julie_and_Julia,13747,"       Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen ",Biography & Autobiography,Autobiography,310,2005,Nonfiction,2
4376,Susanna Kaysen ,/author/show/4376.Susanna_Kaysen,USA and Canada,3.9,https://www.goodreads.com/book/show/68783.Girl_Interrupted,68783,"       Girl, Interrupted ",Biography & Autobiography,Autobiography,169,1993,Nonfiction,2
7064545,Malala Yousafzai ,/author/show/7064545.Malala_Yousafzai,Asia,4.1,https://www.goodreads.com/book/show/17851885-i-am-malala,17851885,       I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban ,Biography & Autobiography,Biography,327,2012,Nonfiction,2
2940640,Rebecca Skloot ,/author/show/2940640.Rebecca_Skloot,USA and Canada,4.05,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks,6493208,       The Immortal Life of Henrietta Lacks ,Science,Science,370,2010,Nonfiction,7
7275,Helen Keller ,/author/show/7275.Helen_Keller,USA and Canada,4.08,https://www.goodreads.com/book/show/821611.The_Story_of_My_Life,821611,       The Story of My Life ,Biography & Autobiography,Biography,240,1902,Nonfiction,2
5272674,Jenny  Lawson ,/author/show/5272674.Jenny_Lawson,Unknown,3.9,https://www.goodreads.com/book/show/12868761-let-s-pretend-this-never-happened,12868761,       Let's Pretend This Never Happened: A Mostly True Memoir ,Biography & Autobiography,Autobiography,318,2012,Nonfiction,2
155717,Cheryl Strayed ,/author/show/155717.Cheryl_Strayed,USA and Canada,3.98,https://www.goodreads.com/book/show/12262741-wild,12262741,       Wild: From Lost to Found on the Pacific Crest Trail ,Biography & Autobiography,Autobiography,315,2012,Nonfiction,2
4826,Frances Mayes ,/author/show/4826.Frances_Mayes,USA and Canada,3.75,https://www.goodreads.com/book/show/480479.Under_the_Tuscan_Sun,480479,       Under the Tuscan Sun ,Travel,Nonfiction,304,1996,Nonfiction,9
2122,Sarah Vowell ,/author/show/2122.Sarah_Vowell,USA and Canada,3.98,https://www.goodreads.com/book/show/3110.Assassination_Vacation,3110,       Assassination Vacation ,History,History,258,2005,Nonfiction,5
17765,Iris Chang ,/author/show/17765.Iris_Chang,USA and Canada,4.11,https://www.goodreads.com/book/show/95784.The_Rape_of_Nanking,95784,       The Rape of Nanking ,History,Nonfiction,290,1997,Nonfiction,5
3277,Dava Sobel ,/author/show/3277.Dava_Sobel,USA and Canada,3.96,https://www.goodreads.com/book/show/4806.Longitude,4806,       Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time ,History,Nonfiction,192,1995,Nonfiction,5
