author_id,author_name,author_page_url,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,pages,year_publication,fiction_nonfiction,period_publication,genre_number
74489,Victoria Thompson ,/author/show/74489.Victoria_Thompson,USA and Canada,4.02,https://www.goodreads.com/book/show/686717.Murder_on_St_Mark_s_Place,686717,       Murder on St. Mark's Place ,Mystery,Historical,277,2000,Fiction,20th century or before,10
5618190,Mimi Jean Pamfiloff ,/author/show/5618190.Mimi_Jean_Pamfiloff,USA and Canada,3.99,https://www.goodreads.com/book/show/27833684-tailored-for-trouble,27833684,       Tailored for Trouble ,Romance,Contemporary,354,2016,Fiction,21st century,11
36122,Patricia C. Wrede ,/author/show/36122.Patricia_C_Wrede,USA and Canada,4.01,https://www.goodreads.com/book/show/64207.Sorcery_Cecelia,64207,       Sorcery & Cecelia: or The Enchanted Chocolate Pot ,Fantasy,Young Adult,326,1988,Fiction,20th century or before,6
4833990,Jillian Dodd ,/author/show/4833990.Jillian_Dodd,Unknown,3.95,https://www.goodreads.com/book/show/34804503-stalk-me,34804503,       Stalk Me ,Young Adult,Romance,327,2012,Fiction,21st century,14
274533,Simone Elkeles ,/author/show/274533.Simone_Elkeles,USA and Canada,4.01,https://www.goodreads.com/book/show/544424.Leaving_Paradise,544424,       Leaving Paradise ,Young Adult,Romance,303,2007,Fiction,21st century,14
27847,Lisa Kleypas ,/author/show/27847.Lisa_Kleypas,USA and Canada,4.25,https://www.goodreads.com/book/show/114166.Devil_in_Winter,114166,       Devil in Winter ,Romance,Romance,368,2006,Fiction,21st century,11
153394,Suzanne Collins ,/author/show/153394.Suzanne_Collins,USA and Canada,4.03,https://www.goodreads.com/book/show/7260188-mockingjay,7260188,       Mockingjay ,Young Adult,Science Fiction,392,2010,Fiction,21st century,14
7851984,Zarah Detand ,/author/show/7851984.Zarah_Detand,Unknown,4.22,https://www.goodreads.com/book/show/20816370-pull-me-under,20816370,       Pull Me Under ,Romance,Sports and Games,359,2014,Fiction,21st century,11
5771850,Kendall McKenna ,/author/show/5771850.Kendall_McKenna,USA and Canada,4.25,https://www.goodreads.com/book/show/18221995-strength-of-the-mate,18221995,       Strength of the Mate ,Romance,War,356,2014,Fiction,21st century,11
4968409,Rhys Ford ,/author/show/4968409.Rhys_Ford,USA and Canada,4.25,https://www.goodreads.com/book/show/40983132-tequila-mockingbird,40983132,       Tequila Mockingbird ,Romance,Contemporary,250,2014,Fiction,21st century,11
1427650,Megan Derr ,/author/show/1427650.Megan_Derr,USA and Canada,3.87,https://www.goodreads.com/book/show/17900911-of-last-resort,17900911,       Of Last Resort ,Fantasy,Romance,235,2013,Fiction,21st century,6
2746690,K.A. Mitchell ,/author/show/2746690.K_A_Mitchell,USA and Canada,3.55,https://www.goodreads.com/book/show/18742420-bad-influence,18742420,       Bad Influence ,Romance,Contemporary,295,2014,Fiction,21st century,11
3185029,L.A. Witt ,/author/show/3185029.L_A_Witt,USA and Canada,3.9,https://www.goodreads.com/book/show/19292809-payoff,19292809,       Payoff ,Romance,Romance,47,2014,Fiction,21st century,11
